accession	tax_id	scientific_name	base_count	description
U26838	40367	Drosophila flavomontana	957	Drosophila flavomontana alcohol dehydrogenase (Adh) gene, complete cds.
U94199	46802	Drosophila lineosetae	222	Drosophila lineosetae alcohol dehydrogenase (Adh) gene, partial cds.
U94207	46827	Drosophila tanythrix	204	Drosophila tanythrix alcohol dehydrogenase (Adh) gene, partial cds.
X78402	7227	Drosophila melanogaster	44	D.melanogaster DNA alcohol dehydrogenase null activity allele
AF264080	46791	Drosophila sucinea	405	Drosophila sucinea alcohol dehydrogenase (Adh) gene, partial cds.
AY006419	7236	Drosophila planitibia	510	Drosophila planitibia alcohol dehydrogenase (Adh) gene, partial cds.
AY006421	46818	Drosophila substenoptera	510	Drosophila substenoptera alcohol dehydrogenase (Adh) gene, partial cds.
AY006425	48319	Drosophila ingens	510	Drosophila ingens alcohol dehydrogenase (Adh) gene, partial cds.
DQ471665	40370	Drosophila montana	711	Drosophila montana alcohol dehydrogenase (Adh) gene, partial cds.
EU532120	46792	Drosophila insularis	566	Drosophila insularis alcohol dehydrogenase (Adh) gene, partial cds.
HQ631468	7237	Drosophila pseudoobscura	290	Drosophila pseudoobscura alcohol dehydrogenase (adh) gene, partial cds.
HQ631476	109356	Drosophila leontia	290	Drosophila leontia alcohol dehydrogenase (adh) gene, partial cds.
MG684383	157059	Drosophila siamana	719	Drosophila siamana alcohol dehydrogenase (Adh) gene, partial cds.
U48715	46435	Drosophila hawaiiensis	3335	Drosophila hawaiiensis alcohol dehydrogenase (Adh) gene, complete cds.
AF059891	7257	Drosophila robusta	290	Drosophila robusta alcohol dehydrogenase (Adh) gene, partial cds.
AY006408	48321	Drosophila hanaulae	510	Drosophila hanaulae alcohol dehydrogenase (Adh) gene, partial cds.
AY750117	311474	Drosophila longiserrata	911	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.
AY750124	189258	Drosophila micromelanica	911	Drosophila micromelanica alcohol dehydrogenase (Adh) gene, partial cds.
AY750135	311480	Drosophila medioconstricta	911	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.
DQ471629	30041	Drosophila polychaeta	711	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.
DQ471632	309936	Drosophila daruma	711	Drosophila daruma alcohol dehydrogenase (Adh) gene, partial cds.
DQ471633	381460	Drosophila fluvialis	711	Drosophila fluvialis alcohol dehydrogenase (Adh) gene, partial cds.
DQ471666	103845	Drosophila nannoptera	711	Drosophila nannoptera alcohol dehydrogenase (Adh) gene, partial cds.
X98338	7227	Drosophila melanogaster	2071	D.melanogaster mRNA for alcohol dehydrogenase related protein
DQ471627	381448	Drosophila angor	711	Drosophila angor alcohol dehydrogenase (Adh) gene, partial cds.
DQ471634	309938	Drosophila latifshahi	711	Drosophila latifshahi alcohol dehydrogenase (Adh) gene, partial cds.
AF264076	46792	Drosophila insularis	405	Drosophila insularis alcohol dehydrogenase (Adh) gene, partial cds.
AY006414	47010	Drosophila silvestris	510	Drosophila silvestris alcohol dehydrogenase (Adh) gene, partial cds.
AY006416	7219	Drosophila differens	510	Drosophila differens alcohol dehydrogenase (Adh) gene, partial cds.
DQ471656	302448	Drosophila anceps	711	Drosophila anceps alcohol dehydrogenase (Adh) gene, partial cds.
AF264075	126477	Drosophila fumipennis	405	Drosophila fumipennis alcohol dehydrogenase (Adh) gene, partial cds.
AY006422	46804	Drosophila melanocephala	510	Drosophila melanocephala alcohol dehydrogenase (Adh) gene, partial cds.
U90955	7282	Drosophila obscura	453	Drosophila obscura alcohol dehydrogenase (Adh) gene, partial cds.
EU532118	46790	Drosophila equinoxialis	573	Drosophila equinoxialis alcohol dehydrogenase (Adh) gene, partial cds.
EU532119	7260	Drosophila willistoni	533	Drosophila willistoni alcohol dehydrogenase (Adh) gene, partial cds.
GQ376036	7274	Drosophila serrata	410	Drosophila serrata alcohol dehydrogenase (ADH) gene, partial cds.
U90953	57873	Drosophila hubeiensis	432	Drosophila hubeiensis alcohol dehydrogenase (Adh) gene, partial cds.
GQ376031	88886	Drosophila sulfurigaster	410	Drosophila sulfurigaster alcohol dehydrogenase (ADH) gene, partial cds.
GQ376032	46829	Drosophila birchii	410	Drosophila birchii alcohol dehydrogenase (ADH) gene, partial cds.
U94208	58308	Drosophila dasycnemia	204	Drosophila dasycnemia alcohol dehydrogenase (Adh) gene, partial cds.
U48714	7222	Drosophila grimshawi	3644	Idiomyia grimshawi alcohol dehydrogenase (Adh) gene, complete cds.
AY238771	7229	Drosophila miranda	2042	Drosophila miranda strain 0101.4 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AY238773	7229	Drosophila miranda	2042	Drosophila miranda strain 0101.7 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AF260696	137002	Drosophila biseriata	487	Drosophila biseriata alcohol dehydrogenase-related protein gene, partial cds.
KM016476	7240	Drosophila simulans	478	Drosophila simulans isolate KY34 alcohol dehydrogenase-related gene, intron.
U95267	7260	Drosophila willistoni	1172	Drosophila willistoni PA3 alcohol dehydrogenase (Adh) gene, complete cds.
KM016473	7240	Drosophila simulans	480	Drosophila simulans isolate KY02 alcohol dehydrogenase-related gene, intron.
AB261129	157053	Drosophila annulipes	835	Drosophila annulipes Adh gene for alcohol dehydrogenase, partial cds.
AB261130	387621	Drosophila quadrilineata	859	Drosophila quadrilineata Adh gene for alcohol dehydrogenase, partial cds.
AB261141	30019	Drosophila busckii	820	Drosophila busckii Adh gene for alcohol dehydrogenase, partial cds.
AF260694	7221	Drosophila funebris	453	Drosophila funebris alcohol dehydrogenase-related protein gene, partial cds.
AF260698	30043	Drosophila repleta	451	Drosophila repleta alcohol dehydrogenase-related protein gene, partial cds.
AY279322	7245	Drosophila yakuba	1741	Drosophila yakuba alcohol dehydrogenase related (Adhr) gene, complete cds.
KM016468	7240	Drosophila simulans	476	Drosophila simulans isolate KY33 alcohol dehydrogenase-related gene, intron.
AY279324	7220	Drosophila erecta	976	Drosophila erecta alcohol dehydrogenase related (Adhr) gene, partial cds.
DQ471636	381473	Drosophila sp. T	711	Drosophila sp. T alcohol dehydrogenase (Adh) gene, partial cds.
U76485	7231	Drosophila mulleri	261	Drosophila mulleri alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.
U76486	7230	Drosophila mojavensis	245	Drosophila mojavensis alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.
U95265	7260	Drosophila willistoni	1172	Drosophila willistoni PA1 alcohol dehydrogenase (Adh) gene, complete cds.
DQ471643	7244	Drosophila virilis	711	Drosophila virilis strain 174 alcohol dehydrogenase (Adh) gene, partial cds.
U95257	7260	Drosophila willistoni	1172	Drosophila willistoni Belize VI alcohol dehydrogenase (Adh) gene, complete cds.
AB154554	30033	Drosophila kikkawai	686	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh13.
AF201434	7240	Drosophila simulans	480	Drosophila simulans isolate C167 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201448	7240	Drosophila simulans	479	Drosophila simulans isolate MD221 alcohol dehydrogenase (Adhr) gene, intron 1.
AF284474	7226	Drosophila mauritiana	702	Drosophila mauritiana strain 105 alcohol dehydrogenase (Adh) gene, partial cds.
AF284478	7226	Drosophila mauritiana	701	Drosophila mauritiana strain Lig72 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471617	381448	Drosophila angor	711	Drosophila angor strain 118 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471642	381452	Drosophila barutani	711	Drosophila barutani strain 176 alcohol dehydrogenase (Adh) gene, partial cds.
HQ110511	7271	Drosophila nebulosa	795	Drosohpila nebulosa isolate D_nebu_c3 alcohol dehydrogenase (Adh) gene, partial cds.
HQ110513	30039	Drosophila neocordata	832	Drosophila neocordata isolate D_neoc_c2 alcohol dehydrogenase (Adh) gene, partial cds.
KX976506	7245	Drosophila yakuba	771	Drosophila yakuba isolate Yakuba_COST_1235_2 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976515	7245	Drosophila yakuba	771	Drosophila yakuba isolate Yakuba_3_23 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976519	7245	Drosophila yakuba	771	Drosophila yakuba isolate Yakuba_4_21 alcohol dehydrogenase (Adh) mRNA, complete cds.
M62742	7268	Drosophila mayaguana	905	D.mayaguana alcohol dehydrogenase-2 (ADH-2) gene, complete cds.
U95275	7271	Drosophila nebulosa	1251	Drosophila nebulosa 0761.0 alcohol dehydrogenase (Adh) gene, complete cds.
AB154552	30033	Drosophila kikkawai	683	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh11.
AF201425	7226	Drosophila mauritiana	475	Drosophila mauritiana isolate G52 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201428	7240	Drosophila simulans	479	Drosophila simulans isolate TT00 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201432	7240	Drosophila simulans	480	Drosophila simulans isolate NC37 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201437	7240	Drosophila simulans	479	Drosophila simulans isolate MD106 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201440	7240	Drosophila simulans	479	Drosophila simulans isolate RU35 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201441	7240	Drosophila simulans	480	Drosophila simulans isolate RU00 alcohol dehydrogenase (Adhr) gene, intron 1.
AY095941	42027	Drosophila kuntzei	431	Drosophila kuntzei isolate kun3 alcohol dehydrogenase (Adh) gene, partial cds.
AY095947	193352	Drosophila unispina	442	Drosophila unispina isolate uni1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471614	381448	Drosophila angor	711	Drosophila angor strain C120 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471625	381468	Drosophila perlucida	711	Drosophila perlucida strain 186 alcohol dehydrogenase (Adh) gene, partial cds.
M62743	7264	Drosophila buzzatii	908	D.buzzatii alcohol dehydrogenase-2 (ADH-2) gene, complete cds.
U95251	7260	Drosophila willistoni	1174	Drosophila willistoni 0811.0 alcohol dehydrogenase (Adh) gene, complete cds.
U95256	7260	Drosophila willistoni	1172	Drosophila willistoni Belize II alcohol dehydrogenase (Adh) gene, complete cds.
KX384732	42062	Drosophila nasuta	1122	Drosophila nasuta strain IND_DN_U11 alcohol dehydrogenase (Adh) gene, partial cds.
AB154561	30033	Drosophila kikkawai	683	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh20.
AF201436	7240	Drosophila simulans	480	Drosophila simulans isolate DSR alcohol dehydrogenase (Adhr) gene, intron 1.
AF201438	7240	Drosophila simulans	480	Drosophila simulans isolate MD225 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201443	7240	Drosophila simulans	479	Drosophila simulans isolate RU07 alcohol dehydrogenase (Adhr) gene, intron 1.
AF284477	7226	Drosophila mauritiana	702	Drosophila mauritiana strain 207 alcohol dehydrogenase (Adh) gene, partial cds.
AY804555	7245	Drosophila yakuba	759	Drosophila yakuba strain Tai18 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471646	2609301	Drosophila bipatita (nomen nudum)	711	Drosophila bipatita strain 246 alcohol dehydrogenase (Adh) gene, partial cds.
JX455215	7240	Drosophila simulans	480	Drosophila simulans isolate HW46 alcohol dehydrogenase (Adhr) gene, intron 1.
AY095935	42028	Drosophila limbata	447	Drosophila limbata isolate lim1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471641	311476	Drosophila neokadai	711	Drosophila neokadai strain 172 alcohol dehydrogenase (Adh) gene, partial cds.
AY095950	7283	Drosophila phalerata	430	Drosophila phalerata isolate pha2 alcohol dehydrogenase (Adh) gene, partial cds.
AY335201	30047	Drosophila sturtevanti	792	Drosophila sturtevanti clone Dsturt3 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471647	311478	Drosophila bai	711	Drosophila bai strain 247 alcohol dehydrogenase (Adh) gene, partial cds.
KX976490	7245	Drosophila yakuba	771	Drosophila yakuba isolate Yakuba_BIOKO_NE_4_6 alcohol dehydrogenase (Adh) mRNA, complete cds.
DQ471622	381462	Drosophila hei	711	Drosophila hei strain 4 alcohol dehydrogenase (Adh) gene, partial cds.
AB669828	73155	Drosophila biauraria	842	Drosophila biauraria Adh gene for alcohol dehydrogenase, partial cds, strain: B660.
AB669872	307242	Drosophila ohnishii	843	Drosophila ohnishii Adh gene for alcohol dehydrogenase, partial cds, strain: MMY326.
AB825962	94110	Drosophila trapezifrons	836	Drosophila trapezifrons Adh gene for alcohol dehydrogenase, partial cds, strain: Bavi31.
AF459767	73157	Drosophila nikananu	290	Drosophila nikananu alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459783	67533	Drosophila rufa	290	Drosophila rufa alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AY459545	7240	Drosophila simulans	618	Drosophila simulans alcohol dehydrogenase gene, partial cds and 5' flanking region.
EU999242	40366	Drosophila americana	840	Drosophila americana isolate FP99.33 alcohol dehydrogenase (Adh) gene, partial cds.
KJ767237	7227	Drosophila melanogaster	872	Drosophila melanogaster strain Oregon R alcohol dehydrogenase (Adh) gene, partial cds.
U64522	7237	Drosophila pseudoobscura	3481	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS228 allele, complete cds.
U64544	7237	Drosophila pseudoobscura	3476	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS317 allele, complete cds.
U64559	7237	Drosophila pseudoobscura	3499	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS356 allele, complete cds.
AB669827	73155	Drosophila biauraria	842	Drosophila biauraria Adh gene for alcohol dehydrogenase, partial cds, strain: B16.
AB669849	137355	Drosophila burlai	833	Drosophila burlai Adh gene for alcohol dehydrogenase, partial cds, strain: L6.
AF136692	95109	Drosophila americana americana	884	Drosophila americana americana G96.40Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136702	40372	Drosophila americana texana	884	Drosophila americana texana LP97.08 alcohol dehydrogenase (Adh) gene, partial cds.
AF136704	40372	Drosophila americana texana	884	Drosophila americana texana LP97.13 alcohol dehydrogenase (Adh) gene, partial cds.
AF201423	7227	Drosophila melanogaster	479	Drosophila melanogaster isolate Oregon R alcohol dehydrogenase (Adhr) gene, intron 1.
AF459760	29029	Drosophila eugracilis	290	Drosophila eugracilis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459764	60717	Drosophila punjabiensis	290	Drosophila punjabiensis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
EF560576	306028	Drosophila gasici	622	Drosophila gasici pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.
L78923	7270	Drosophila mimica	822	Drosophila mimica (strain 15292-2561.3) alcohol dehydrogenase gene, partial cds.
U76470	7224	Drosophila hydei	897	Drosophila hydei strain 2 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
AB669830	67531	Drosophila lacteicornis	838	Drosophila lacteicornis Adh gene for alcohol dehydrogenase, partial cds, strain: ISGB1.
AB669841	67534	Drosophila triauraria	842	Drosophila triauraria Adh gene for alcohol dehydrogenase, partial cds, strain: T544.
AF136656	95109	Drosophila americana americana	884	Drosophila americana americana G96.03X alcohol dehydrogenase (Adh) gene, partial cds.
AF136663	95109	Drosophila americana americana	884	Drosophila americana americana G96.30X alcohol dehydrogenase (Adh) gene, partial cds.
AF136673	95109	Drosophila americana americana	884	Drosophila americana americana G96.45X alcohol dehydrogenase (Adh) gene, partial cds.
AF136681	95109	Drosophila americana americana	884	Drosophila americana americana G96.03Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136698	95109	Drosophila americana americana	884	Drosophila americana americana G96.46Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136700	40372	Drosophila americana texana	884	Drosophila americana texana LP97.03 alcohol dehydrogenase (Adh) gene, partial cds.
AF175218	7227	Drosophila melanogaster	951	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k35 allele, complete cds.
AF459749	29030	Drosophila takahashii	290	Drosophila takahashii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459750	51159	Drosophila lutescens	290	Drosophila lutescens alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AY695389	133979	Drosophila dunni	507	Drosophila dunni strain Puerto Rico alcohol dehydrogenase (Adh) mRNA, partial cds.
U64536	7237	Drosophila pseudoobscura	3498	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS273 allele, complete cds.
U76476	7224	Drosophila hydei	897	Drosophila hydei strain 8 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
X54118	7243	Drosophila teissieri	4321	D.teissieri Adh gene for alcohol dehydrogenase and Adh-related gene
AF459751	73156	Drosophila lucipennis	290	Drosophila lucipennis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459781	137076	Drosophila orosa	290	Drosophila orosa alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AB669894	137078	Drosophila truncata	830	Drosophila truncata Adh gene for alcohol dehydrogenase, partial cds, strain: RGN179.
AB669833	67532	Drosophila quadraria	843	Drosophila quadraria Adh gene for alcohol dehydrogenase, partial cds, strain: Q.
EF560577	306029	Drosophila mesophragmatica	605	Drosophila mesophragmatica pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.
U64555	7237	Drosophila pseudoobscura	3467	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS348 allele, complete cds.
U64526	7237	Drosophila pseudoobscura	3475	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS242 allele, complete cds.
U76474	7224	Drosophila hydei	897	Drosophila hydei strain 6 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
X54116	7220	Drosophila erecta	3867	D.erecta Adh gene for alcohol dehydrogenase and Adh-related gene
AB669829	67531	Drosophila lacteicornis	838	Drosophila lacteicornis Adh gene for alcohol dehydrogenase, partial cds, strain: BG0571.0.
AB669861	137356	Drosophila cauverii	833	Drosophila cauverii Adh gene for alcohol dehydrogenase, partial cds, strain: cauv-CNRS.
AF136677	95109	Drosophila americana americana	884	Drosophila americana americana D.am-.6Y alcohol dehydrogenase (Adh) gene, partial cds.
AY340302	40366	Drosophila americana	881	Drosophila americana pop-variant NN97.08Y alcohol dehydrogenase (Adh) gene, partial cds.
AY364513	7230	Drosophila mojavensis	879	Drosophila mojavensis strain MJS 68 alcohol dehydrogenase-2 (Adh2) gene, complete cds.
AY340278	40366	Drosophila americana	881	Drosophila americana pop-variant DN00.01X alcohol dehydrogenase (Adh) gene, partial cds.
AY340292	40366	Drosophila americana	881	Drosophila americana pop-variant NN00.09X alcohol dehydrogenase (Adh) gene, partial cds.
AY340294	40366	Drosophila americana	881	Drosophila americana pop-variant DN00.02Y alcohol dehydrogenase (Adh) gene, partial cds.
AY364506	7230	Drosophila mojavensis	880	Drosophila mojavensis strain MJS 16F alcohol dehydrogenase 1 (Adh1) gene, complete cds.
AY874361	7241	Drosophila subobscura	1422	Drosophila subobscura strain line 0 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
AY874371	7241	Drosophila subobscura	1406	Drosophila subobscura strain line 24 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
AB703316	7247	Drosophila algonquin	405	Drosophila algonquin Adh gene for alcohol dehydrogenase, partial cds, clone: D.algonquin.
AB703319	7249	Drosophila azteca	405	Drosophila azteca Adh gene for alcohol dehydrogenase, partial cds, clone: D.azteca.
AB703324	7237	Drosophila pseudoobscura	405	Drosophila pseudoobscura Adh gene for alcohol dehydrogenase, partial cds, clone: D.pseudoobscura.
AF136678	95109	Drosophila americana americana	884	Drosophila americana americana D.am-.3Y alcohol dehydrogenase (Adh) gene, partial cds.
AY340295	40366	Drosophila americana	881	Drosophila americana pop-variant DN00.04Y alcohol dehydrogenase (Adh) gene, partial cds.
AY364493	7230	Drosophila mojavensis	880	Drosophila mojavensis strain MJS 14 alcohol dehydrogenase 1 (Adh1) gene, complete cds.
AY364499	7230	Drosophila mojavensis	880	Drosophila mojavensis strain MJS 115 alcohol dehydrogenase 1 (Adh1) gene, complete cds.
AY874368	7241	Drosophila subobscura	1406	Drosophila subobscura strain line 16 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
EF216308	426741	Drosophila luguensis	431	Drosophila luguensis alcohol dehydrogenase (Adh) gene, exons 2, 3 and partial cds.
U76483	7231	Drosophila mulleri	902	Drosophila mulleri strain -1371.22 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
AY364522	7230	Drosophila mojavensis	879	Drosophila mojavensis strain MJS 133 alcohol dehydrogenase-2 (Adh2) gene, complete cds.
AY874367	7241	Drosophila subobscura	1406	Drosophila subobscura strain line 11 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
AB703320	7218	Drosophila bifasciata	405	Drosophila bifasciata Adh gene for alcohol dehydrogenase, partial cds, clone: D.bifasciata.
AY340280	40366	Drosophila americana	881	Drosophila americana pop-variant DN00.04X alcohol dehydrogenase (Adh) gene, partial cds.
AY340284	40366	Drosophila americana	881	Drosophila americana pop-variant NN97.02X alcohol dehydrogenase (Adh) gene, partial cds.
AY340285	40366	Drosophila americana	881	Drosophila americana pop-variant NN97.04X alcohol dehydrogenase (Adh) gene, partial cds.
AY874366	7241	Drosophila subobscura	1406	Drosophila subobscura strain line 10 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
AY874374	7241	Drosophila subobscura	1406	Drosophila subobscura strain line 35 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
EF216309	426743	Drosophila limingi	429	Drosophila limingi alcohol dehydrogenase (Adh) gene, exons 2, 3 and partial cds.
U76480	7231	Drosophila mulleri	902	Drosophila mulleri strain -1371.16 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
AB669838	137070	Drosophila tani	838	Drosophila tani Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0661.00.
AB669874	73157	Drosophila nikananu	838	Drosophila nikananu Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0661.01.
AF067283	7239	Drosophila subsilvestris	437	Drosophila subsilvestris alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.
AY154844	7263	Drosophila arizonae	878	Drosophila arizonae strain ARTU 34 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AY154854	7263	Drosophila arizonae	880	Drosophila arizonae strain AR00 5 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AB932673	133976	Drosophila similis	839	Drosophila similis Adh gene for alcohol dehydrogenase, partial cds, strain: 15182-2321.00.
M17827	7227	Drosophila melanogaster	2696	D.melanogaster (strain Wa-S) alcohol dehydrogenase gene (allele Adh-s), complete cds.
AB194441	42026	Drosophila bipectinata	759	Drosophila bipectinata Adh gene for alcohol dehydrogenase, partial cds, strain:wild type CJB162.
AY154843	7263	Drosophila arizonae	878	Drosophila arizonae strain ARTU 24 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AY154845	7263	Drosophila arizonae	879	Drosophila arizonae strain ARTU 35 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
EF560579	30028	Drosophila gaucha	626	Drosophila gaucha pop-variant Campos do Jordao alcohol dehydrogenase (adh) gene, partial cds.
LC057202	186284	Drosophila paralutea	829	Drosophila paralutea Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0281.00.
M17828	7227	Drosophila melanogaster	2696	D.melanogaster (strain Fl-1S) alcohol dehydrogenase gene (allele Adh-F), complete cds.
AB669848	132243	Drosophila vulcana	773	Drosophila vulcana Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0711.00.
